accession,line_type,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,seed_total,outcome,parent_plant_id,comments
SALK_023000c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0049,BC_S11Farm_0049,A,,,Y,200,,,
SALK_023012c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0430,BC_S11Farm_0430,A,,,N,,DNG,,
SALK_023037c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0050,BC_S11Farm_0050,A,,,Y,> 200,,,
SALK_023066c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0001,BC_S11Farm_0001,A,,,N,,DNG,,
SALK_023070c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0051,BC_S11Farm_0051,A,,,Y,500,,,
SALK_023076c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0052,BC_S11Farm_0052,A,,,Y,> 200,,,
SALK_023091c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0053,BC_S11Farm_0053,A,,,Y,200,,,
SALK_023120c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0054,BC_S11Farm_0054,A,,,Y,300,,,
SALK_023159c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0055,BC_S11Farm_0055,A,,,Y,500,,,
SALK_023198c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0056,BC_S11Farm_0056,A,,,Y,200,,,
SALK_023251c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0057,BC_S11Farm_0057,A,,,Y,200,,,
SALK_023271c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0058,BC_S11Farm_0058,A,,,Y,> 500,,,
SALK_023296c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0059,BC_S11Farm_0059,A,,,Y,,,,
SALK_023316c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0060,BC_S11Farm_0060,A,,,Y,300,,,
SALK_023325c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0002,BC_S11Farm_0002,A,,,N,,DNG,,
SALK_023361c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0061,BC_S11Farm_0061,A,,,Y,> 100,,,
