accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_001496C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0167,CofC_SF01_0167,6,B,3,Y,,,DIED,Resown,Y,SF05,
SALK_002674C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0156,CofC_SF01_0156,5,G,4,Y,,,DIED,Resown,Y,SF05,
SALK_006260C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0304,CofC_SF01_0304,10,D,4,Y,,,DIED,,Y,SF05,
SALK_013567C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0033,CofC_SF01_0033,2,A,1,Y,,,DIED,,Y,SF05,
SALK_021394C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0316,CofC_SF01_0316,10,G,4,Y,,,DIED,,Y,SF05,
SALK_047537C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0042,CofC_SF01_0042,2,C,2,Y,,,DIED,Resown,Y,SF05,
SALK_047540C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0144,CofC_SF01_0144,5,D,4,Y,,,DIED,,Y,SF05,
SALK_071126C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0234,CofC_SF01_0234,8,C,2,Y,,,DIED,Resown,Y,SF05,
SALK_087493C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0210,CofC_SF01_0210,7,E,2,Y,,,DIED,Resown,Y,SF05,
SALK_114007C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0285,CofC_SF01_0285,9,H,1,Y,,,DIED,Resown,Y,NA,"Mysterious SALK line, does not exist"
SALK_119765C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0098,CofC_SF01_0098,4,A,2,Y,,,DIED,Resown; mislabeled 119705C,Y,SF05,
SALK_136612C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0268,CofC_SF01_0268,9,C,4,Y,,,DIED,,Y,SF05,
SALK_137031C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0271,CofC_SF01_0271,9,D,3,Y,,,DIED,,Y,SF05,
SALK_139411C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0036,CofC_SF01_0036,2,A,4,Y,,,DIED,,Y,SF05,
SALK_139541C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0287,CofC_SF01_0287,9,H,3,Y,,,DIED,Resown,Y,SF05,
SALK_001169C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0200,CofC_SF01_0200,7,B,4,N,,,DNG,Resown,Y,SF05,
SALK_005569C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0158,CofC_SF01_0158,5,H,2,N,,,DNG,Resown,Y,SF05,
SALK_013113C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0016,CofC_SF01_0016,1,D,4,N,,,DNG,Resown,Y,SF05,
SALK_013129C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0066,CofC_SF01_0066,3,A,2,N,,,DNG,Resown,Y,SF05,
SALK_014641C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0317,CofC_SF01_0317,10,H,1,N,,,DNG,Resown,Y,SF05,
SALK_016798C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0002,CofC_SF01_0002,1,A,2,N,,,DNG,Resown,Y,SF05,
SALK_016841C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0051,CofC_SF01_0051,2,E,3,N,,,DNG,Resown,Y,SF05,
SALK_018664C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0264,CofC_SF01_0264,9,B,4,N,,,DNG,Resown,Y,SF05,
SALK_021865C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0199,CofC_SF01_0199,7,B,3,N,,,DNG,Resown,Y,NA,Could not locate seeds for refarming in SF05
SALK_022107C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0314,CofC_SF01_0314,10,G,2,N,,,DNG,Resown,Y,SF05,
SALK_022192C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0049,CofC_SF01_0049,2,E,1,N,,,DNG,Resown,Y,SF05,
SALK_022429C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0273,CofC_SF01_0273,9,E,1,N,,,DNG,Resown,Y,SF05,
SALK_022708C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0015,CofC_SF01_0015,1,D,3,N,,,DNG,Resown,Y,SF05,
SALK_023411C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0307,CofC_SF01_0307,10,E,3,N,,,DNG,Resown,Y,SF05,
SALK_024198C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0119,CofC_SF01_0119,4,F,3,N,,,DNG,Resown,Y,SF05,
SALK_025269C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0171,CofC_SF01_0171,6,C,3,N,,,DNG,Resown,Y,SF05,
SALK_025839C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0274,CofC_SF01_0274,9,E,2,N,,,DNG,Resown,Y,SF07,NOTE: during SF01 accidentally labeled wrong (labeled 025893C)
SALK_026580C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0083,CofC_SF01_0083,3,E,3,N,,,DNG,Resown,Y,SF05,
SALK_027329C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0204,CofC_SF01_0204,7,C,4,N,,,DNG,Resown,Y,SF05,
SALK_029403C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0181,CofC_SF01_0181,6,F,1,N,,,DNG,Resown,Y,SF05,
SALK_029626C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0293,CofC_SF01_0293,10,B,1,N,,,DNG,Resown,Y,SF05,
SALK_032802C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0040,CofC_SF01_0040,2,B,4,N,,,DNG,Resown,Y,SF05,
SALK_040296C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0104,CofC_SF01_0104,4,B,4,N,,,DNG,Resown,Y,SF05,
SALK_045037C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0184,CofC_SF01_0184,6,F,4,N,,,DNG,Resown,Y,SF05,
SALK_047893C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0108,CofC_SF01_0108,4,C,4,N,,,DNG,Resown,Y,SF05,
SALK_055818C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0046,CofC_SF01_0046,2,D,2,N,,,DNG,,Y,SF05,
SALK_059645C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0213,CofC_SF01_0213,7,F,1,N,,,DNG,Resown,Y,SF05,
SALK_064540C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0077,CofC_SF01_0077,3,D,1,N,,,DNG,Resown,Y,SF05,
SALK_067859C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0105,CofC_SF01_0105,4,C,1,N,,,DNG,Resown,Y,SF05,
SALK_068008C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0208,CofC_SF01_0208,7,D,4,N,,,DNG,Resown,Y,SF05,
SALK_069489C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0227,CofC_SF01_0227,8,A,3,N,,,DNG,Resown,Y,SF05,
SALK_072807C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0266,CofC_SF01_0266,9,C,2,N,,,DNG,Resown,Y,SF05,
SALK_073483C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0193,CofC_SF01_0193,7,A,1,N,,,DNG,Resown,Y,SF05,
SALK_076550C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0120,CofC_SF01_0120,4,F,4,N,,,DNG,Resown,Y,SF05,
SALK_077704C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0277,CofC_SF01_0277,9,F,1,N,,,DNG,Resown,Y,SF05,
SALK_078782C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0081,CofC_SF01_0081,3,E,1,N,,,DNG,Resown,Y,SF05,
SALK_079430C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0206,CofC_SF01_0206,7,D,2,N,,,DNG,Resown,Y,SF05,
SALK_080724C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0259,CofC_SF01_0259,9,A,3,N,,,DNG,Resown,Y,SF05,
SALK_082840C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0294,CofC_SF01_0294,10,B,2,N,,,DNG,Resown,Y,SF05,
SALK_083802C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0137,CofC_SF01_0137,5,C,1,N,,,DNG,Resown,Y,SF05,
SALK_086894C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0269,CofC_SF01_0269,9,D,1,N,,,DNG,Resown,Y,SF05,
SALK_090239C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0140,CofC_SF01_0140,5,C,4,N,,,DNG,Resown,Y,SF05,
SALK_101543C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0058,CofC_SF01_0058,2,G,2,N,,,DNG,Resown,Y,SF05,
SALK_101874C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0100,CofC_SF01_0100,4,A,4,N,,,DNG,Resown,Y,SF05,
SALK_102754C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0086,CofC_SF01_0086,3,F,2,N,,,DNG,Resown,Y,SF05,
SALK_103127C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0111,CofC_SF01_0111,4,D,3,N,,,DNG,Resown,Y,SF05,
SALK_103345C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0170,CofC_SF01_0170,6,C,2,N,,,DNG,Resown,Y,SF05,
SALK_105816C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0109,CofC_SF01_0109,4,D,1,N,,,DNG,Resown,Y,SF05,
SALK_105880C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0172,CofC_SF01_0172,6,C,4,N,,,DNG,Resown,Y,SF05,
SALK_107968C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0069,CofC_SF01_0069,3,B,1,N,,,DNG,Resown,Y,SF05,
SALK_110809C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0225,CofC_SF01_0225,8,A,1,N,,,DNG,Resown,Y,SF05,
SALK_114463C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0106,CofC_SF01_0106,4,C,2,N,,,DNG,Resown,Y,SF05,
SALK_114514C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0211,CofC_SF01_0211,7,E,3,N,,,DNG,Resown,Y,SF05,
SALK_115494C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0186,CofC_SF01_0186,6,G,2,N,,,DNG,Resown,Y,SF05,
SALK_116974C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0276,CofC_SF01_0276,9,E,4,N,,,DNG,Resown,Y,SF05,
SALK_118515C,CofC_S11Farm_REFARM,,CofC,NGH,SF,01,0005,CofC_SF01_0005,1,B,1,N,,,DNG,Resown,Y,SF05,
