accession,plant_num,plant_id,institution,expt_type,expt_ID,tray,row,column,parent_plant_id,facility,seed_stock_location,seed_quantity,isolation_id,comments,comments.orig,used_in_exptID
SALK_000212C,1,CofC_S11Farm_0001,CofC,DF,1,,,,,NGH-COFC,,,I11-V02-3,plantum=1|  other comments ,,
SALK_000212C,2,CofC_S11Farm_0002,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box12_72,70,,plantum=2|  other comments ,,
SALK_000706C,,CofC_S11Farm_0003,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_000822C,1,CofC_S11Farm_0004,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_46,>100,I12-V02-25,plantum=1|  other comments ,,
SALK_001014C,1,CofC_S11Farm_0005,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_28,100,I12-L01-1,plantum=1|  other comments ,,
SALK_001014C,2,CofC_S11Farm_0006,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_30,>100,,plantum=2|  other comments ,,
SALK_001058C,1,CofC_S11Farm_0007,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box03_24,100,I12-G03-29,plantum=1|  other comments ,,
SALK_001169C,1,CofC_S11Farm_0008,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments no seed or DNA,no seed or DNA,
SALK_001169C,2,CofC_S11Farm_0009,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box03_29,100,,"plantum=2|  other comments two tissue samples, both labeled #2","two tissue samples, both labeled #2",
SALK_001169C,2H,CofC_S11Farm_0010,CofC,DF,1,,,,,NGH-COFC,,,,"plantum=2H|  other comments two tissue samples, both labeled #3","two tissue samples, both labeled #3",
SALK_001298C,1,CofC_S11Farm_0011,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_18,100,,plantum=1|  other comments no DNA,no DNA,
SALK_001298C,2,CofC_S11Farm_0012,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments no seed or DNA,no seed or DNA,
SALK_001360C,1,CofC_S11Farm_0013,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_14,>100,I11-G02-5,plantum=1|  other comments ,,
SALK_001360C,2,CofC_S11Farm_0014,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_15,100,,plantum=2|  other comments no DNA,no DNA,
SALK_001360C,2H,CofC_S11Farm_0015,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2H|  other comments ,,
SALK_001420C,1,CofC_S11Farm_0016,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_11,50,I12-G05-5,plantum=1|  other comments ,,
SALK_001420C,2,CofC_S11Farm_0017,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_17,90,,plantum=2|  other comments ,,
SALK_001420C,1H,CofC_S11Farm_0018,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1H|  other comments ,,
SALK_001496C,1,CofC_S11Farm_0019,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box07_49,20,I12-K13-11,plantum=1|  other comments ,,
SALK_001496C,2A,CofC_S11Farm_0020,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_16,80,,plantum=2A|  other comments ,,
SALK_001496C,2B,CofC_S11Farm_0021,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box07_64,6,,plantum=2B|  other comments ,,
SALK_001597C,,CofC_S11Farm_0022,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments DNG,DNG,
SALK_002098C,1A,CofC_S11Farm_0023,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box05_19,190,,plantum=1A|  other comments tissue in CONFL. Box,tissue in CONFL. Box,
SALK_002098C,1B,CofC_S11Farm_0024,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_18,10,,plantum=1B|  other comments have dry tissue,have dry tissue,
SALK_002135C,1,CofC_S11Farm_0025,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box08_9,15,,plantum=1|  other comments ,,
SALK_002135C,2,CofC_S11Farm_0026,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box08_8,>100,I11-G02-23,plantum=2|  other comments ,,
SALK_002674C,1,CofC_S11Farm_0027,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_17,80,I11-W03-1,plantum=1|  other comments ,,
SALK_003109C,1,CofC_S11Farm_0028,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box11_18,>100,I11-G04-7,plantum=1|  other comments ,,
SALK_003109C,2,CofC_S11Farm_0029,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments ,,
SALK_003223C,,CofC_S11Farm_0030,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_003255C,2,CofC_S11Farm_0031,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_8,30,,plantum=2|  other comments ,,
SALK_003255C,1A,CofC_S11Farm_0032,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_6,150,,plantum=1A|  other comments ,,
SALK_003255C,1B,CofC_S11Farm_0033,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_21,110,I11-G02-19,plantum=1B|  other comments ,,
SALK_003891C,2,CofC_S11Farm_0034,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box02_7,100,,plantum=2|  other comments ,,
SALK_003891C,1A,CofC_S11Farm_0035,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box02_9,30,I11-G02-18,plantum=1A|  other comments ,,
SALK_003942C,1,CofC_S11Farm_0036,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments ,,
SALK_003942C,2,CofC_S11Farm_0037,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_2,>100,I12-W05-13,plantum=2|  other comments ,,
SALK_003942C,1H,CofC_S11Farm_0038,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_29,50,,plantum=1H|  other comments ,,
SALK_003943C,,CofC_S11Farm_0039,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_004073C,1,CofC_S11Farm_0040,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_29,10,,plantum=1|  other comments ,,
SALK_004073C,2,CofC_S11Farm_0041,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_30,20,I11-G04-10,plantum=2|  other comments ,,
SALK_004590C,1A,CofC_S11Farm_0042,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_69,50,I11-G04-5,plantum=1A|  other comments ,,
SALK_004590C,1B,CofC_S11Farm_0043,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box02_10,20,,plantum=1B|  other comments ,,
SALK_004590C,2A,CofC_S11Farm_0044,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_72,100,,plantum=2A|  other comments ,,
SALK_004590C,2B,CofC_S11Farm_0045,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box02_11,20,,plantum=2B|  other comments ,,
SALK_004741C,1,CofC_S11Farm_0046,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_51,>100,I11-G05-9,plantum=1|  other comments ,,
SALK_004741C,2,CofC_S11Farm_0047,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_52,>100,,plantum=2|  other comments ,,
SALK_004964C,1,CofC_S11Farm_0048,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments two plants labeled the same,two plants labeled the same,
SALK_004964C,2,CofC_S11Farm_0049,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments two plants labeled the same,two plants labeled the same,
SALK_004964C,2H,CofC_S11Farm_0050,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2H|  other comments two plants labeled the same,two plants labeled the same,
SALK_005007C,1,CofC_S11Farm_0051,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box08_54,50,I11-V02-7,plantum=1|  other comments ,,
SALK_005007C,2,CofC_S11Farm_0052,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_10,100,I11-V03-8,plantum=2|  other comments ,,
SALK_005190C,1,CofC_S11Farm_0053,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box01_5,60,,plantum=1|  other comments ,,
SALK_005190C,2,CofC_S11Farm_0054,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box01_12,>100,I11-G04-25,plantum=2|  other comments ,,
SALK_005190C,3,CofC_S11Farm_0055,CofC,DF,1,,,,,NGH-COFC,,,I11-V04-10,plantum=3|  other comments ,,
SALK_005336C,,CofC_S11Farm_0056,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_005558C,1,CofC_S11Farm_0057,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments no DNA/tissue; two tubes of seed labeled plant #1,no DNA/tissue; two tubes of seed labeled plant #1,
SALK_005569C,1,CofC_S11Farm_0058,CofC,DF,1,,,,,NGH-COFC,,,I11-V04-15,plantum=1|  other comments ,,
