accession,plant_num,plant_id,parent_id,seed_stock_location,seed_quantity,isolation_id,comments
SALK_000212C,1,CofC_S11Farm_0001,,,,I11-V02-3,
SALK_000212C,2,CofC_S11Farm_0002,,S11Farm_Box12_72,70,,
SALK_000706C,,CofC_S11Farm_0003,,,,,FARM_FAIL
SALK_000822C,1,CofC_S11Farm_0004,,Hanna_Box01_46,>100,I12-V02-25,
SALK_001014C,1,CofC_S11Farm_0005,,S11Farm_Box04_28,100,I12-L01-1,
SALK_001014C,2,CofC_S11Farm_0006,,S11Farm_Box04_30,>100,,
SALK_001058C,1,CofC_S11Farm_0007,,S11Farm_Box03_24,100,I12-G03-29,
SALK_001169C,1,CofC_S11Farm_0008,,,,,no seed or DNA
SALK_001169C,2,CofC_S11Farm_0009,,S11Farm_Box03_29,100,,"two tissue samples, both labeled #2"
SALK_001169C,2H,CofC_S11Farm_0010,,,,,"two tissue samples, both labeled #3"
SALK_001298C,1,CofC_S11Farm_0011,,S11Farm_Box06_18,100,,no DNA
SALK_001298C,2,CofC_S11Farm_0012,,,,,no seed or DNA
SALK_001360C,1,CofC_S11Farm_0013,,S11Farm_Box09_14,>100,I11-G02-5,
SALK_001360C,2,CofC_S11Farm_0014,,S11Farm_Box09_15,100,,no DNA
SALK_001360C,2H,CofC_S11Farm_0015,,,,,
SALK_001420C,1,CofC_S11Farm_0016,,S11Farm_Box09_11,50,I12-G05-5,
SALK_001420C,2,CofC_S11Farm_0017,,S11Farm_Box09_17,90,,
SALK_001420C,1H,CofC_S11Farm_0018,,,,,
SALK_001496C,1,CofC_S11Farm_0019,,S11Farm_Box07_49,20,I12-K13-11,
SALK_001496C,2A,CofC_S11Farm_0020,,S11Farm_Box10_16,80,,
SALK_001496C,2B,CofC_S11Farm_0021,,S11Farm_Box07_64,6,,
SALK_001597C,,CofC_S11Farm_0022,,,,,DNG
SALK_002098C,1A,CofC_S11Farm_0023,,S11Farm_Box05_19,190,,tissue in CONFL. Box
SALK_002098C,1B,CofC_S11Farm_0024,,S11Farm_Box13_18,10,,have dry tissue
SALK_002135C,1,CofC_S11Farm_0025,,S11Farm_Box08_9,15,,
SALK_002135C,2,CofC_S11Farm_0026,,S11Farm_Box08_8,>100,I11-G02-23,
SALK_002674C,1,CofC_S11Farm_0027,,S11Farm_Box13_17,80,I11-W03-1,
SALK_003109C,1,CofC_S11Farm_0028,,S11Farm_Box11_18,>100,I11-G04-7,
SALK_003109C,2,CofC_S11Farm_0029,,,,,
SALK_003223C,,CofC_S11Farm_0030,,,,,FARM_FAIL
SALK_003255C,2,CofC_S11Farm_0031,,S11Farm_Box10_8,30,,
SALK_003255C,1A,CofC_S11Farm_0032,,S11Farm_Box10_6,150,,
SALK_003255C,1B,CofC_S11Farm_0033,,S11Farm_Box10_21,110,I11-G02-19,
SALK_003891C,2,CofC_S11Farm_0034,,S11Farm_Box02_7,100,,
SALK_003891C,1A,CofC_S11Farm_0035,,S11Farm_Box02_9,30,I11-G02-18,
SALK_003942C,1,CofC_S11Farm_0036,,,,,
SALK_003942C,2,CofC_S11Farm_0037,,S11Farm_Box04_2,>100,I12-W05-13,
SALK_003942C,1H,CofC_S11Farm_0038,,Hanna_Box01_29,50,,
SALK_003943C,,CofC_S11Farm_0039,,,,,FARM_FAIL
SALK_004073C,1,CofC_S11Farm_0040,,S11Farm_Box10_29,10,,
SALK_004073C,2,CofC_S11Farm_0041,,S11Farm_Box10_30,20,I11-G04-10,
SALK_004590C,1A,CofC_S11Farm_0042,,S11Farm_Box09_69,50,I11-G04-5,
SALK_004590C,1B,CofC_S11Farm_0043,,S11Farm_Box02_10,20,,
SALK_004590C,2A,CofC_S11Farm_0044,,S11Farm_Box09_72,100,,
SALK_004590C,2B,CofC_S11Farm_0045,,S11Farm_Box02_11,20,,
SALK_004741C,1,CofC_S11Farm_0046,,S11Farm_Box10_51,>100,I11-G05-9,
SALK_004741C,2,CofC_S11Farm_0047,,S11Farm_Box10_52,>100,,
SALK_004964C,1,CofC_S11Farm_0048,,,,,two plants labeled the same
SALK_004964C,2,CofC_S11Farm_0049,,,,,two plants labeled the same
SALK_004964C,2H,CofC_S11Farm_0050,,,,,two plants labeled the same
SALK_005007C,1,CofC_S11Farm_0051,,S11Farm_Box08_54,50,I11-V02-7,
SALK_005007C,2,CofC_S11Farm_0052,,S11Farm_Box04_10,100,I11-V03-8,
SALK_005190C,1,CofC_S11Farm_0053,,S11Farm_Box01_5,60,,
SALK_005190C,2,CofC_S11Farm_0054,,S11Farm_Box01_12,>100,I11-G04-25,
SALK_005190C,3,CofC_S11Farm_0055,,,,I11-V04-10,
SALK_005336C,,CofC_S11Farm_0056,,,,,FARM_FAIL
SALK_005558C,1,CofC_S11Farm_0057,,,,,no DNA/tissue; two tubes of seed labeled plant #1
SALK_005569C,1,CofC_S11Farm_0058,,,,I11-V04-15,
SALK_005569C,2,CofC_S11Farm_0059,,S11Farm_Box12_49,20,I12-W06-20,
SALK_005569C,3,CofC_S11Farm_0060,,S11Farm_Box14_64,2,,
SALK_005658C,0,CofC_S11Farm_0061,,,,,no seed or DNA
SALK_006054C,1,CofC_S11Farm_0062,,S11Farm_Box01_57,>100,I12-V04-6,
SALK_006054C,2,CofC_S11Farm_0063,,,,,no seed or DNA
SALK_006124C,,CofC_S11Farm_0064,,,,,FARM_FAIL
SALK_006260C,1,CofC_S11Farm_0065,,S11Farm_Box10_15,10,,
SALK_006260C,2,CofC_S11Farm_0066,,S11Farm_Box10_13,20,,
SALK_006528C,1,CofC_S11Farm_0067,,S11Farm_Box09_12,100,,
SALK_006528C,2,CofC_S11Farm_0068,,S11Farm_Box09_16,>100,I11-G03-3,
SALK_006528C,3,CofC_S11Farm_0069,,,,I11-V02-4,
SALK_006559C,1A,CofC_S11Farm_0070,,S11Farm_Box08_12,20,I11-V13-10,
SALK_006559C,1B,CofC_S11Farm_0071,,,,,
SALK_006559C,2A,CofC_S11Farm_0072,,S11Farm_Box08_15,75,I12-G04-28,
SALK_006559C,2C,CofC_S11Farm_0073,,,,,
SALK_006783C,1,CofC_S11Farm_0074,,S11Farm_Box04_62,50,,
SALK_006783C,2A,CofC_S11Farm_0075,,S11Farm_Box04_63,20,,
SALK_006783C,2B,CofC_S11Farm_0076,,S11Farm_Box08_67,5,,
