accession,line_type,parent_plant_id,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,outcome,comments,SURVIVE,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,2,1,CofC_SF02_0001,1,A,1,Y,3,NA,,,,,,,
SALK_001254C,RAND_BIN_LINE,,CofC,NGH,SF,2,2,CofC_SF02_0002,1,A,2,N,26,8/15/2012,,RESOW,,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,2,3,CofC_SF02_0003,1,A,3,Y,,,DIED,,N,,,,
SALK_004525C,RAND_BIN_LINE,,CofC,NGH,SF,2,4,CofC_SF02_0004,1,A,4,Y,,,DIED,,N,Y,SF05,,
SALK_003265C,RAND_BIN_LINE,,CofC,NGH,SF,2,5,CofC_SF02_0005,1,B,1,Y,2,,INS-FRUIT,,,Y,SF07,,
SALK_001827C,RAND_BIN_LINE,,CofC,NGH,SF,2,6,CofC_SF02_0006,1,B,2,N,29,8/15/2012,,RESOW,,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,2,7,CofC_SF02_0007,1,B,3,Y,43,NA,,RESOW,N,,,,
SALK_005766C,RAND_BIN_LINE,,CofC,NGH,SF,2,8,CofC_SF02_0008,1,B,4,N,37,8/15/2012,,RESOW,,,,,
SALK_001712C,RAND_BIN_LINE,,CofC,NGH,SF,2,9,CofC_SF02_0009,1,C,1,N,27,8/15/2012,,RESOW,,,,,
SALK_002031C,RAND_BIN_LINE,,CofC,NGH,SF,2,10,CofC_SF02_0010,1,C,2,Y,1,,INS-FRUIT,,,Y,SF07,,
SALK_003941C,RAND_BIN_LINE,,CofC,NGH,SF,2,11,CofC_SF02_0011,1,C,3,N,26,8/15/2012,,RESOW,,,,,
SALK_135640C,RAND_BIN_LINE,,CofC,NGH,SF,2,12,CofC_SF02_0012,1,C,4,Y,22,8/15/2012,,RESOW,N,,,,
SALK_006031C,RAND_BIN_LINE,,CofC,NGH,SF,2,13,CofC_SF02_0013,1,D,1,Y,1,,INS-FRUIT,,,Y,SF07,,
SALK_001437C,RAND_BIN_LINE,,CofC,NGH,SF,2,14,CofC_SF02_0014,1,D,2,Y,6,8/7/2012,,,,,,,
SALK_006012C,RAND_BIN_LINE,,CofC,NGH,SF,2,15,CofC_SF02_0015,1,D,3,N,24,8/15/2012,,RESOW,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,2,16,CofC_SF02_0016,1,D,4,Y,9,NA,,,,,,,
SALK_005342C,RAND_BIN_LINE,,CofC,NGH,SF,2,17,CofC_SF02_0017,1,E,1,Y,,,DIED,,N,Y,SF05,,
SALK_001684C,RAND_BIN_LINE,,CofC,NGH,SF,2,18,CofC_SF02_0018,1,E,2,N,,,DIED,RESOW?,N,Y,SF07,,
SALK_002225C,RAND_BIN_LINE,,CofC,NGH,SF,2,19,CofC_SF02_0019,1,E,3,Y,,,DIED,,N,Y,SF05,,
SALK_003425C,RAND_BIN_LINE,,CofC,NGH,SF,2,20,CofC_SF02_0020,1,E,4,N,22,8/15/2012,,RESOW,,,,,
SALK_003732C,RAND_BIN_LINE,,CofC,NGH,SF,2,21,CofC_SF02_0021,1,F,1,Y,36,8/15/2012,,RESOW,N,,,,
SALK_001794C,RAND_BIN_LINE,,CofC,NGH,SF,2,22,CofC_SF02_0022,1,F,2,Y,0,,INS-FRUIT,,,Y,SF07,,
SALK_135577C,RAND_BIN_LINE,,CofC,NGH,SF,2,23,CofC_SF02_0023,1,F,3,Y,4,,NO TISSUE,NO TISSUE,,Y,SF07,,
SALK_006580C,RAND_BIN_LINE,,CofC,NGH,SF,2,24,CofC_SF02_0024,1,F,4,Y,6,8/7/2012,,,,,,,
SALK_004686C,RAND_BIN_LINE,,CofC,NGH,SF,2,25,CofC_SF02_0025,1,G,1,Y,,,DIED,,N,Y,SF05,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,2,26,CofC_SF02_0026,1,G,2,Y,9,NA,,,,,,,
SALK_137684C,RAND_BIN_LINE,,CofC,NGH,SF,2,27,CofC_SF02_0027,1,G,3,N,,,DIED,RESOW?,,Y,SF05,,
SALK_004006C,RAND_BIN_LINE,,CofC,NGH,SF,2,28,CofC_SF02_0028,1,G,4,Y,5,,NO TISSUE,NO TISSUE,,Y,SF07,,
SALK_001760C,RAND_BIN_LINE,,CofC,NGH,SF,2,29,CofC_SF02_0029,1,H,1,Y,8,8/7/2012,,,,,,,
SALK_000016C,RAND_BIN_LINE,,CofC,NGH,SF,2,30,CofC_SF02_0030,1,H,2,N,,,DIED,RESOW,,Y,SF07,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,2,31,CofC_SF02_0031,1,H,3,Y,9,NA,,,,,,,
SALK_000099C,RAND_BIN_LINE,,CofC,NGH,SF,2,32,CofC_SF02_0032,1,H,4,Y,18,7/12/2012,,,,,,,
SALK_001850C,RAND_BIN_LINE,,CofC,NGH,SF,2,33,CofC_SF02_0033,2,A,1,Y,,,DIED,,N,Y,SF05,,
SALK_003411C,RAND_BIN_LINE,,CofC,NGH,SF,2,34,CofC_SF02_0034,2,A,2,N,,,DIED,RESOW,,Y,SF07,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,2,35,CofC_SF02_0035,2,A,3,Y,5,NA,,,,,,,
SALK_003134C,RAND_BIN_LINE,,CofC,NGH,SF,2,36,CofC_SF02_0036,2,A,4,Y,53,8/15/2012,,RESOW,N,,,,
SALK_002838C,RAND_BIN_LINE,,CofC,NGH,SF,2,37,CofC_SF02_0037,2,B,1,Y,1,,INS-FRUIT,,,Y,SF07,,
SALK_004831C,RAND_BIN_LINE,,CofC,NGH,SF,2,38,CofC_SF02_0038,2,B,2,Y,,,DIED,,N,Y,SF05,,
SALK_005871C,RAND_BIN_LINE,,CofC,NGH,SF,2,39,CofC_SF02_0039,2,B,3,Y,45,8/15/2012,,RESOW,N,,,,
SALK_003210C,RAND_BIN_LINE,,CofC,NGH,SF,2,40,CofC_SF02_0040,2,B,4,Y,,,DIED,,N,Y,SF05,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,2,41,CofC_SF02_0041,2,C,1,Y,7,,DIED,,N,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,2,42,CofC_SF02_0042,2,C,2,Y,3,,INS-FRUIT,,,,,,
SALK_005025C,RAND_BIN_LINE,,CofC,NGH,SF,2,43,CofC_SF02_0043,2,C,3,N,44,8/15/2012,,RESOW,,,,,
SALK_001679C,RAND_BIN_LINE,,CofC,NGH,SF,2,44,CofC_SF02_0044,2,C,4,N,62,8/15/2012,,RESOW,,,,,
SALK_002960C,RAND_BIN_LINE,,CofC,NGH,SF,2,45,CofC_SF02_0045,2,D,1,Y,2,,INS-FRUIT,,,Y,SF07,,
SALK_000219C,RAND_BIN_LINE,,CofC,NGH,SF,2,46,CofC_SF02_0046,2,D,2,Y,0,,INS-FRUIT,,,Y,SF07,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,2,47,CofC_SF02_0047,2,D,3,Y,3,,INS-FRUIT,,,,,,
SALK_003249C,RAND_BIN_LINE,,CofC,NGH,SF,2,48,CofC_SF02_0048,2,D,4,Y,4,,INS-FRUIT,,,Y,SF07,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,2,49,CofC_SF02_0049,2,E,1,Y,4,NA,,,,,,,
SALK_000463C,RAND_BIN_LINE,,CofC,NGH,SF,2,50,CofC_SF02_0050,2,E,2,Y,3,,INS-FRUIT,,,Y,SF07,,
SALK_137763C,RAND_BIN_LINE,,CofC,NGH,SF,2,51,CofC_SF02_0051,2,E,3,Y,5,7/16/2012,,,,,,,
SALK_002968C,RAND_BIN_LINE,,CofC,NGH,SF,2,52,CofC_SF02_0052,2,E,4,Y,7,7/22/2012,,,,,,,
SALK_005954C,RAND_BIN_LINE,,CofC,NGH,SF,2,53,CofC_SF02_0053,2,F,1,Y,3,,INS-FRUIT,,,Y,SF07,,
SALK_003940C,RAND_BIN_LINE,,CofC,NGH,SF,2,54,CofC_SF02_0054,2,F,2,Y,10,7/12/2012,,,,,,,
SALK_002483C,RAND_BIN_LINE,,CofC,NGH,SF,2,55,CofC_SF02_0055,2,F,3,Y,2,7/12/2012,,,,,,,
SALK_006297C,RAND_BIN_LINE,,CofC,NGH,SF,2,56,CofC_SF02_0056,2,F,4,Y,4,8/7/2012,,,,,,,
SALK_001957C,RAND_BIN_LINE,,CofC,NGH,SF,2,57,CofC_SF02_0057,2,G,1,Y,42,8/15/2012,,RESOW,N,,,,
SALK_000997C,RAND_BIN_LINE,,CofC,NGH,SF,2,58,CofC_SF02_0058,2,G,2,Y,6,7/12/2012,,,,,,,
SALK_005464C,RAND_BIN_LINE,,CofC,NGH,SF,2,59,CofC_SF02_0059,2,G,3,N,15,9/25/2012,,RESOW,,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,2,60,CofC_SF02_0060,2,G,4,Y,9,NA,,,,,,,
SALK_151603C,RAND_BIN_LINE,,CofC,NGH,SF,2,61,CofC_SF02_0061,2,H,1,Y,7,7/16/2012,,,,,,,
SALK_002099C,RAND_BIN_LINE,,CofC,NGH,SF,2,62,CofC_SF02_0062,2,H,2,Y,,,DIED,RESOW,N,Y,SF07,,
SALK_135654C,RAND_BIN_LINE,,CofC,NGH,SF,2,63,CofC_SF02_0063,2,H,3,N,36,8/15/2012,,RESOW,,,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,2,64,CofC_SF02_0064,2,H,4,N,20,NA,,RESOW?,,,,,
SALK_006378C,RAND_BIN_LINE,,CofC,NGH,SF,2,65,CofC_SF02_0065,3,A,1,Y,40,8/15/2012,,RESOW,N,,,,
SALK_001364C,RAND_BIN_LINE,,CofC,NGH,SF,2,66,CofC_SF02_0066,3,A,2,Y,1,,INS-FRUIT,,,Y,SF07,,
SALK_006727C,RAND_BIN_LINE,,CofC,NGH,SF,2,67,CofC_SF02_0067,3,A,3,Y,,,DIED,,N,Y,SF05,,
SALK_149852C,RAND_BIN_LINE,,CofC,NGH,SF,2,68,CofC_SF02_0068,3,A,4,N,30,8/15/2012,,RESOW,,,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,2,69,CofC_SF02_0069,3,B,1,Y,4,NA,,,,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,2,70,CofC_SF02_0070,3,B,2,Y,3,NA,,,,,,,
SALK_002622C,RAND_BIN_LINE,,CofC,NGH,SF,2,71,CofC_SF02_0071,3,B,3,N,34,8/15/2012,,RESOW,,,,,
SALK_000696C,RAND_BIN_LINE,,CofC,NGH,SF,2,72,CofC_SF02_0072,3,B,4,Y,,,DIED,,N,Y,SF05,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,2,73,CofC_SF02_0073,3,C,1,N,61,NA,,RESOW?,,,,,SALK_000016C
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,2,74,CofC_SF02_0074,3,C,2,Y,1,NA,,,,,,,
