accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,comments,OUTCOME,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,3,39,CofC_SF03_0039,2,B,3,Y,,,,DIED,,,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,3,47,CofC_SF03_0047,2,D,3,Y,,,,DIED,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,3,52,CofC_SF03_0052,2,E,4,Y,,,,DIED,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,3,93,CofC_SF03_0093,3,H,1,Y,,,,DIED,,,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,3,112,CofC_SF03_0112,4,D,4,Y,,,,DIED,,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,3,117,CofC_SF03_0117,4,F,1,Y,,,,DIED,,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,3,127,CofC_SF03_0127,4,H,3,Y,,,Rotten plant,DIED,,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,3,154,CofC_SF03_0154,5,G,2,Y,,,,DIED,,,,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,3,175,CofC_SF03_0175,6,D,3,Y,,,,DIED,,,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,3,193,CofC_SF03_0193,7,A,1,Y,,,,DIED,,,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,3,199,CofC_SF03_0199,7,B,3,Y,,,,DIED,,,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,3,213,CofC_SF03_0213,7,F,1,Y,,,,DIED,,,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,3,217,CofC_SF03_0217,7,G,1,Y,,,,DIED,,,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,3,238,CofC_SF03_0238,8,D,2,Y,,,,DIED,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,3,263,CofC_SF03_0263,9,B,3,Y,,,,DIED,,,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,3,267,CofC_SF03_0267,9,C,3,Y,,,,DIED,,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,3,287,CofC_SF03_0287,9,H,3,Y,,,,DIED,,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,3,289,CofC_SF03_0289,10,A,1,Y,,,,DIED,,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,3,295,CofC_SF03_0295,10,B,3,Y,,,,DIED,,,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,3,306,CofC_SF03_0306,10,E,2,Y,,,,DIED,,,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,3,1,CofC_SF03_0001,1,A,1,Y,5,NA,,,,,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,3,2,CofC_SF03_0002,1,A,2,Y,5,NA,,,,,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,3,4,CofC_SF03_0004,1,A,4,Y,5,NA,,,,,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,3,6,CofC_SF03_0006,1,B,2,N,,,,DNG,NA,,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,3,9,CofC_SF03_0009,1,C,1,N,,,,DNG,NA,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,3,10,CofC_SF03_0010,1,C,2,Y,5,NA,,,,,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,3,36,CofC_SF03_0036,2,A,4,N,,,,DNG,NA,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,3,38,CofC_SF03_0038,2,B,2,Y,5,NA,,,,,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,3,41,CofC_SF03_0041,2,C,1,N,,,,DNG,NA,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,3,46,CofC_SF03_0046,2,D,2,Y,5,NA,,,,,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,3,49,CofC_SF03_0049,2,E,1,N,5,NA,,DNG,NA,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,3,54,CofC_SF03_0054,2,F,2,Y,5,NA,,,,,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,3,68,CofC_SF03_0068,3,A,4,Y,5,NA,,,,,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,3,70,CofC_SF03_0070,3,B,2,N,,,,DNG,NA,,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,3,96,CofC_SF03_0096,3,H,4,N,,,,DNG,NA,,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,3,98,CofC_SF03_0098,4,A,2,N,5,NA,,DNG,NA,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,3,104,CofC_SF03_0104,4,B,4,Y,5,NA,,,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,3,107,CofC_SF03_0107,4,C,3,N,,,,DNG,NA,,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,3,116,CofC_SF03_0116,4,E,4,Y,5,NA,,,,,,,
