accession,line_type,parent_plant_id,institution,facility,expt_type,expt_ID,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,total_good_fruit,tissue_collected,OUTCOME,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_023690C,RAND_BIN_LINE,,CofC,NGH,SF,4,1,CofC_SF04_0001,1,A,1,Y,70,,8/15,,,,,
SALK_022902C,RAND_BIN_LINE,,CofC,NGH,SF,4,2,CofC_SF04_0002,1,A,2,Y,54,,8/15,,,,,
SALK_023915C,RAND_BIN_LINE,,CofC,NGH,SF,4,3,CofC_SF04_0003,1,A,3,N,,,,DNG,,Y,SF06,
SALK_023849C,RAND_BIN_LINE,,CofC,NGH,SF,4,4,CofC_SF04_0004,1,A,4,Y,44,,8/15,,,,,
SALK_022539C,RAND_BIN_LINE,,CofC,NGH,SF,4,5,CofC_SF04_0005,1,B,1,Y,90,,8/23,,,,,
SALK_026842C,RAND_BIN_LINE,,CofC,NGH,SF,4,6,CofC_SF04_0006,1,B,2,N,,,,DNG,,Y,SF06,
SALK_025023C,RAND_BIN_LINE,,CofC,NGH,SF,4,7,CofC_SF04_0007,1,B,3,Y,72,,8/15,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,4,8,CofC_SF04_0008,1,B,4,Y,72,,8/15,,,,,
SALK_025943C,RAND_BIN_LINE,,CofC,NGH,SF,4,9,CofC_SF04_0009,1,C,1,Y,21,,8/15,,,,,
SALK_026155C,RAND_BIN_LINE,,CofC,NGH,SF,4,10,CofC_SF04_0010,1,C,2,N,,,,DNG,,Y,SF06,
SALK_027197C,RAND_BIN_LINE,,CofC,NGH,SF,4,11,CofC_SF04_0011,1,C,3,Y,25,,8/23,,,,,
CS22600,PHYTOMETER,,CofC,NGH,SF,4,12,CofC_SF04_0012,1,C,4,Y,64,68,8/15,,,,,
SALK_026321C,RAND_BIN_LINE,,CofC,NGH,SF,4,13,CofC_SF04_0013,1,D,1,Y,58,,8/15,,,,,
SALK_026089C,RAND_BIN_LINE,,CofC,NGH,SF,4,14,CofC_SF04_0014,1,D,2,N,,,,DNG,,Y,SF06,
SALK_025578C,RAND_BIN_LINE,,CofC,NGH,SF,4,15,CofC_SF04_0015,1,D,3,Y,80,,8/15,,,,,
SALK_021988C,RAND_BIN_LINE,,CofC,NGH,SF,4,16,CofC_SF04_0016,1,D,4,Y,82,,8/15,,,,,
SALK_024797C,RAND_BIN_LINE,,CofC,NGH,SF,4,17,CofC_SF04_0017,1,E,1,Y,65,,8/15,,,,,
SALK_022741C,RAND_BIN_LINE,,CofC,NGH,SF,4,18,CofC_SF04_0018,1,E,2,Y,72,,8/15,,,,,
SALK_026404C,RAND_BIN_LINE,,CofC,NGH,SF,4,19,CofC_SF04_0019,1,E,3,Y,35,,8/23,,,,SF06,
SALK_024358C,RAND_BIN_LINE,,CofC,NGH,SF,4,20,CofC_SF04_0020,1,E,4,Y,60,,8/15,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,4,21,CofC_SF04_0021,1,F,1,Y,58,,8/15,,,,,
SALK_023899C,RAND_BIN_LINE,,CofC,NGH,SF,4,22,CofC_SF04_0022,1,F,2,Y,70,,8/15,,,,,
SALK_022303C,RAND_BIN_LINE,,CofC,NGH,SF,4,23,CofC_SF04_0023,1,F,3,Y,58,,8/15,,,,,
SALK_023522C,RAND_BIN_LINE,,CofC,NGH,SF,4,24,CofC_SF04_0024,1,F,4,Y,70,,8/15,,,,,
SALK_022224C,RAND_BIN_LINE,,CofC,NGH,SF,4,25,CofC_SF04_0025,1,G,1,N,,,,DNG,,Y,SF06,
SALK_024022C,RAND_BIN_LINE,,CofC,NGH,SF,4,26,CofC_SF04_0026,1,G,2,Y,32,,8/23,,,,,
CS22620,PHYTOMETER,,CofC,NGH,SF,4,27,CofC_SF04_0027,1,G,3,Y,90,,8/15,,,,,
SALK_022411C,RAND_BIN_LINE,,CofC,NGH,SF,4,28,CofC_SF04_0028,1,G,4,Y,24,,8/15,,,,,
SALK_027037C,RAND_BIN_LINE,,CofC,NGH,SF,4,29,CofC_SF04_0029,1,H,1,N,,,,DNG,,Y,SF06,
SALK_025840C,RAND_BIN_LINE,,CofC,NGH,SF,4,30,CofC_SF04_0030,1,H,2,Y,42,,8/15,,,,,
SALK_022268C,RAND_BIN_LINE,,CofC,NGH,SF,4,31,CofC_SF04_0031,1,H,3,N,,,,DNG,,Y,SF06,
SALK_022044C,RAND_BIN_LINE,,CofC,NGH,SF,4,32,CofC_SF04_0032,1,H,4,N,,,,DNG,,Y,SF06,
CS22615,PHYTOMETER,,CofC,NGH,SF,4,33,CofC_SF04_0033,2,A,1,Y,39,43,,,,,,
