accession,line_type,parent_id,institution,facility,expt_type,expt_ID,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,phyt_ttlgdfr,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,FARM1_ID,FARM1_OUTCOME,FARM1_NOTES,FARM2_ID,FARM2_OUTCOME,
COL70000,PHYTOMETER,,CofC,NGH,SF,5,88,CofC_SF05_0088,3,F,4,Y,29,,3/30/1904,,,,,,,,,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,5,141,CofC_SF05_0141,5,D,1,Y,31,,3/2/1904,,,,,,,,,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,5,298,CofC_SF05_0298,10,C,2,Y,33,,2/21/1904,,Yana took 5 fruit,,,,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,5,177,CofC_SF05_0177,6,E,1,Y,31,,3/9/1904,,,,,,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,5,217,CofC_SF05_0217,7,G,1,Y,52,,5/17/1904,,,,,,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,5,227,CofC_SF05_0227,8,A,3,Y,40,,3/5/1904,,,,,,,,,,,
CS22617,PHYTOMETER,,CofC,NGH,SF,5,26,CofC_SF05_0026,1,G,2,Y,31,,2/21/1904,,,,,,,,,,,
CS22617,PHYTOMETER,,CofC,NGH,SF,5,31,CofC_SF05_0031,1,H,3,Y,28,,3/7/1904,,,,,,,,,,,
CS22617,PHYTOMETER,,CofC,NGH,SF,5,313,CofC_SF05_0313,10,G,1,Y,2,,2/28/1904,,,,,,,,,,,
CS22618,PHYTOMETER,,CofC,NGH,SF,5,67,CofC_SF05_0067,3,A,3,Y,16,,2/21/1904,,,,,,,,,,,
CS22618,PHYTOMETER,,CofC,NGH,SF,5,147,CofC_SF05_0147,5,E,3,Y,13,,2/11/1904,,,,,,,,,,,
CS22618,PHYTOMETER,,CofC,NGH,SF,5,229,CofC_SF05_0229,8,B,1,Y,,,,,PLANT MISSING (was not on the tray on 12/7, last day of the SF),,,,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,5,97,CofC_SF05_0097,4,A,1,Y,,,,,DID NOT BOLT,,,,,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,5,119,CofC_SF05_0119,4,F,3,Y,,,,,DID NOT BOLT,,,,,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,5,214,CofC_SF05_0214,7,F,2,Y,28,,4/12/1904,,,,,,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,5,125,CofC_SF05_0125,4,H,1,Y,26,,2/27/1904,,,,,,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,5,136,CofC_SF05_0136,5,B,4,Y,35,,3/10/1904,,,,,,,,,,,
CS22633,PHYTOMETER,,CofC,NGH,SF,5,311,CofC_SF05_0311,10,F,3,Y,45,,3/20/1904,,,,,,,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,5,5,CofC_SF05_0005,1,B,1,Y,35,,2/16/1904,,On 12/7, env empty, even though said 26 fruit harvested AND entire main stem had been harvested,,,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,5,22,CofC_SF05_0022,1,F,2,Y,46,,3/10/1904,,,,,,,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,5,110,CofC_SF05_0110,4,D,2,Y,30,,4/5/1904,,,,,,,,,,,
