accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,phyt_ttlgdfr,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_023120C,SF04_REFARM,,CofC,NGH,SF,6,1,CofC_SF06_0001,1,A,1,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039464C,RAND_BIN_LINE,,CofC,NGH,SF,6,2,CofC_SF06_0002,1,A,2,Y,14,1/22/2013,,,,,,
SALK_037273C,RAND_BIN_LINE,,CofC,NGH,SF,6,3,CofC_SF06_0003,1,A,3,Y,14,2/19/2013,,,,,,
SALK_038574C,RAND_BIN_LINE,,CofC,NGH,SF,6,4,CofC_SF06_0004,1,A,4,Y,18,1/22/2013,,,,,,
SALK_037402C,RAND_BIN_LINE,,CofC,NGH,SF,6,5,CofC_SF06_0005,1,B,1,Y,17,1/22/2013,,,,,,
SALK_039695C,RAND_BIN_LINE,,CofC,NGH,SF,6,6,CofC_SF06_0006,1,B,2,N,,,,DNG,,Y,SF07,
SALK_025301C,SF04_REFARM,,CofC,NGH,SF,6,7,CofC_SF06_0007,1,B,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_037577C,RAND_BIN_LINE,,CofC,NGH,SF,6,8,CofC_SF06_0008,1,B,4,N,,,,DNG,,Y,SF07,
SALK_038143C,RAND_BIN_LINE,,CofC,NGH,SF,6,9,CofC_SF06_0009,1,C,1,Y,18,1/14/2013,,,,,,
CS22659,PHYTOMETER,,CofC,NGH,SF,6,10,CofC_SF06_0010,1,C,2,N,,,,DNG,,NA,,
CS22636,PHYTOMETER,,CofC,NGH,SF,6,11,CofC_SF06_0011,1,C,3,Y,27,,33,,,,,
SALK_041361C,RAND_BIN_LINE,,CofC,NGH,SF,6,12,CofC_SF06_0012,1,C,4,Y,20,1/9/2013,,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,6,13,CofC_SF06_0013,1,D,1,Y,21,,45,,,,,
SALK_037768C,RAND_BIN_LINE,,CofC,NGH,SF,6,14,CofC_SF06_0014,1,D,2,Y,14,1/8/2013,,,,,,
SALK_041772C,RAND_BIN_LINE,,CofC,NGH,SF,6,15,CofC_SF06_0015,1,D,3,Y,19,1/14/2013,,,,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,6,16,CofC_SF06_0016,1,D,4,Y,21,,34,,,,,
CS22636,PHYTOMETER,,CofC,NGH,SF,6,17,CofC_SF06_0017,1,E,1,Y,27,,36,,,,,
CS22618,PHYTOMETER,,CofC,NGH,SF,6,18,CofC_SF06_0018,1,E,2,Y,22,,25,,"very short internode, many good looking fruits that are less than 5 mm",,,
CS22617,PHYTOMETER,,CofC,NGH,SF,6,19,CofC_SF06_0019,1,E,3,Y,32,,43,,,,,
SALK_040051C,RAND_BIN_LINE,,CofC,NGH,SF,6,20,CofC_SF06_0020,1,E,4,Y,16,1/14/2013,,,,,,
SALK_040181C,RAND_BIN_LINE,,CofC,NGH,SF,6,21,CofC_SF06_0021,1,F,1,Y,22,1/14/2013,,,,,,
SALK_037973C,RAND_BIN_LINE,,CofC,NGH,SF,6,22,CofC_SF06_0022,1,F,2,Y,25,1/14/2013,,,,,,
SALK_041439C,RAND_BIN_LINE,,CofC,NGH,SF,6,23,CofC_SF06_0023,1,F,3,Y,24,1/9/2013,,,,,,
