line,germinated,treattype,biomass,fruitnum,aborted.fruits,max.silique,inflorescence.height,leaf,diameter.at.bolt,alive.at.harvest
CS60000,1,control,NA,0,.,.,NA,NA,NA,0
CS60000,1,control,NA,0,.,.,NA,NA,NA,0
CS60000,1,control,0.07,53,20,14.7,268,26,4.63,1
CS60000,1,control,0.1,101,48,11.3,234,25,7.01,1
CS60000,1,control,0.13,109,33,12.5,348,36,7.81,1
CS60000,1,control,0.14,130,55,13.7,336,44,6.92,1
CS60000,1,control,0.21,135,40,8.4,322,45,7.23,1
CS60000,1,control,0.18,156,27,7.1,334,26,7.84,1
CS60000,1,control,0.25,177,22,9.9,459,36,11.35,1
CS60000,1,control,0.22,192,44,12.2,302,47,7.88,1
ECOTYPE - 1376,1,control,NA,0,.,.,NA,NA,NA,0
ECOTYPE - 1376,1,control,0.2,132,37,12,286,31,7.86,1
ECOTYPE - 1554,0,control,NA,0,.,.,NA,NA,NA,1
ECOTYPE - 22587,0,control,NA,0,.,.,NA,NA,NA,1
ECOTYPE - 22587,1,control,NA,0,.,.,NA,NA,NA,0
ECOTYPE - 22594,1,control,0.48,192,111,14.5,572,52,14.29,1
ECOTYPE - 22623,1,control,NA,0,.,.,NA,NA,NA,0
ECOTYPE - 22631,1,control,0.21,148,56,12.6,348,33,9.64,1
ECOTYPE - 22645,1,control,0.04,26,18,9.5,124,17,3.08,1
ECOTYPE - 6885,1,control,0.18,155,22,15.1,398,38,7.56,1
SALK_017933C,0,control,NA,0,.,.,NA,NA,NA,1
SALK_017933C,1,control,NA,0,.,.,NA,NA,NA,0
SALK_017933C,1,control,NA,0,.,.,NA,NA,NA,0
SALK_017933C,1,control,NA,0,.,.,NA,NA,NA,0
SALK_017933C,1,control,0,0,0,0,NA,NA,NA,1
SALK_017933C,1,control,0.08,50,10,10.9,322,25,10.17,1
SALK_017933C,1,control,0.08,102,19,9,311,10,11.08,1
SALK_017933C,1,control,0.1,106,15,12.9,350,20,9.33,1
