"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","COL70000","BC","BC-GC1",1,"C",5,53,3,28.4,52.36,"standard GC","CofC_SF01_0020"
"1a1","COL70000","BC","BC-GC1",2,"D",4,62,5,23.9,38.6,"standard GC","CofC_SF01_0020"
"1a1","COL70000","BC","BC-GC1",3,"E",6,52,21,25.2,41.67,"standard GC","CofC_SF01_0020"
"1a1","COL70000","BC","BC-GC1",4,"I",2,114,6,32.4,70.33,"standard GC","CofC_SF01_0020"
"1a1","COL70000","BC","BC-GC1",5,"K",2,95,6,29.2,43.61,"standard GC","CofC_SF01_0020"
"1a1","COL70000","BC","BC-GC1",6,"E",6,NA,NA,NA,53.64,"standard GC","CofC_SF01_0020"
"1a1","COL70000","CofC","COFC-GC1",1,"F",6,11,4,15.2,20.9,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC1",2,"B",4,15,3,17.5,32.1,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC1",3,"D",3,20,5,22,34.6,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC1",4,"A",3,17,3,17.2,28,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC1",5,"J",3,15,3,14.5,21.9,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC1",6,"L",3,13,4,16.3,23,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",10,"J",2,22,7,21.8,36.2,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",11,"D",3,23,6,21.3,33,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",12,"H",5,25,10,20.1,33.9,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",7,"H",6,15,10,17,32.3,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",8,"H",1,15,1,19.2,37.1,"standard GC","CofC_SF01_0159"
"1a1","COL70000","CofC","COFC-GC2",9,"D",4,18,7,22.8,42.7,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",1,"A",4,112,3,23.6,NA,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",2,"D",5,99,7,24.3,NA,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",3,"B",6,84,10,26.1,NA,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",4,"I",1,43,4,23.7,43.8,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",5,"F",6,99,23,23.1,NA,"standard GC","CofC_SF01_0159"
"1a1","CS22596","BC","BC-GC1",6,"A",4,104,11,23.5,NA,"standard GC","CofC_SF01_0159"
"1a1","CS22596","CofC","COFC-GC1",1,"E",3,14,2,12.2,21.4,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC1",2,"F",1,20,5,15.2,33.3,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC1",3,"I",1,18,6,12.5,34.7,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC1",4,"A",6,8,9,13.7,27.2,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC1",5,"E",3,16,9,15.2,27.1,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC1",6,"J",6,NA,NA,NA,NA,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",10,"D",3,21,6,18.3,38.5,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",11,"A",2,15,5,15.2,29.8,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",12,"G",1,21,8,19.3,36.3,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",7,"I",6,12,3,11.9,NA,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",8,"I",3,NA,NA,NA,35.8,"standard GC","CofC_SF01_0060"
"1a1","CS22596","CofC","COFC-GC2",9,"G",3,32,13,22.1,42.2,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",1,"J",4,67,2,28.9,59.24,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",2,"L",2,21,18,17.1,47.35,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",3,"I",5,64,8,27.8,50.15,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",4,"A",5,49,5,27.8,45.54,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",5,"I",5,72,5,29.1,59.55,"standard GC","CofC_SF01_0060"
"1a1","CS22617","BC","BC-GC1",6,"E",4,NA,NA,NA,38.2,"standard GC","CofC_SF01_0060"
