"exptid","accession","institution","facility","flat","row","column","expttype","ko.status","replicate","GC_locale","parent_id","phenotype","value","comments","treatment"
"1a1","COL70000","BC","BC-GC1",1,"C",5,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0020","fruitnum",53,"","standard GC"
"1a1","COL70000","BC","BC-GC1",2,"D",4,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0020","fruitnum",62,"","standard GC"
"1a1","COL70000","BC","BC-GC1",3,"E",6,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0020","fruitnum",52,"","standard GC"
"1a1","COL70000","BC","BC-GC1",4,"I",2,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0020","fruitnum",114,"","standard GC"
"1a1","COL70000","BC","BC-GC1",5,"K",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0020","fruitnum",95,"","standard GC"
"1a1","COL70000","BC","BC-GC1",6,"E",6,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0020","fruitnum",NA,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",1,"F",6,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0159","fruitnum",11,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",2,"B",4,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0159","fruitnum",15,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",3,"D",3,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0159","fruitnum",20,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",4,"A",3,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0159","fruitnum",17,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",5,"J",3,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0159","fruitnum",15,"","standard GC"
"1a1","COL70000","CofC","COFC-GC1",6,"L",3,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0159","fruitnum",13,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",7,"H",6,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0159","fruitnum",15,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",8,"H",1,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0159","fruitnum",15,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",9,"D",4,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0159","fruitnum",18,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",10,"J",2,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0159","fruitnum",22,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",11,"D",3,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0159","fruitnum",23,"","standard GC"
"1a1","COL70000","CofC","COFC-GC2",12,"H",5,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0159","fruitnum",25,"","standard GC"
"1a1","CS22596","BC","BC-GC1",1,"A",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0159","fruitnum",112,"","standard GC"
"1a1","CS22596","BC","BC-GC1",2,"D",5,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0159","fruitnum",99,"","standard GC"
"1a1","CS22596","BC","BC-GC1",3,"B",6,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0159","fruitnum",84,"","standard GC"
"1a1","CS22596","BC","BC-GC1",4,"I",1,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0159","fruitnum",43,"","standard GC"
"1a1","CS22596","BC","BC-GC1",5,"F",6,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0159","fruitnum",99,"","standard GC"
"1a1","CS22596","BC","BC-GC1",6,"A",4,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0159","fruitnum",104,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",1,"E",3,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0060","fruitnum",14,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",2,"F",1,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0060","fruitnum",20,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",3,"I",1,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0060","fruitnum",18,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",4,"A",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0060","fruitnum",8,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",5,"E",3,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0060","fruitnum",16,"","standard GC"
"1a1","CS22596","CofC","COFC-GC1",6,"J",6,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0060","fruitnum",NA,"","standard GC"
"1a1","CS22596","CofC","COFC-GC2",7,"I",6,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0060","fruitnum",12,"","standard GC"
"1a1","CS22596","CofC","COFC-GC2",8,"I",3,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0060","fruitnum",NA,"","standard GC"
"1a1","CS22596","CofC","COFC-GC2",9,"G",3,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0060","fruitnum",32,"","standard GC"
"1a1","CS22596","CofC","COFC-GC2",10,"D",3,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0060","fruitnum",21,"","standard GC"
"1a1","CS22596","CofC","COFC-GC2",11,"A",2,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0060","fruitnum",15,"","standard GC"
